2025-10-08 12:26:37.754 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\.git\config
2025-10-08 12:26:37.755 [main] INFO  fichero.Ejercicio4 - config
2025-10-08 12:26:37.755 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\.git\description
2025-10-08 12:26:37.755 [main] INFO  fichero.Ejercicio4 - description
2025-10-08 12:26:37.757 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\.git\HEAD
2025-10-08 12:26:37.757 [main] INFO  fichero.Ejercicio4 - HEAD
2025-10-08 12:26:37.757 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\.git\hooks\applypatch-msg.sample
2025-10-08 12:26:37.757 [main] INFO  fichero.Ejercicio4 - applypatch-msg.sample
2025-10-08 12:26:37.757 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\.git\hooks\commit-msg.sample
2025-10-08 12:26:37.757 [main] INFO  fichero.Ejercicio4 - commit-msg.sample
2025-10-08 12:26:37.757 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\.git\hooks\fsmonitor-watchman.sample
2025-10-08 12:26:37.758 [main] INFO  fichero.Ejercicio4 - fsmonitor-watchman.sample
2025-10-08 12:26:37.758 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\.git\hooks\post-update.sample
2025-10-08 12:26:37.758 [main] INFO  fichero.Ejercicio4 - post-update.sample
2025-10-08 12:26:37.758 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\.git\hooks\pre-applypatch.sample
2025-10-08 12:26:37.758 [main] INFO  fichero.Ejercicio4 - pre-applypatch.sample
2025-10-08 12:26:37.758 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\.git\hooks\pre-commit.sample
2025-10-08 12:26:37.758 [main] INFO  fichero.Ejercicio4 - pre-commit.sample
2025-10-08 12:26:37.758 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\.git\hooks\pre-merge-commit.sample
2025-10-08 12:26:37.758 [main] INFO  fichero.Ejercicio4 - pre-merge-commit.sample
2025-10-08 12:26:37.758 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\.git\hooks\pre-push.sample
2025-10-08 12:26:37.759 [main] INFO  fichero.Ejercicio4 - pre-push.sample
2025-10-08 12:26:37.759 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\.git\hooks\pre-rebase.sample
2025-10-08 12:26:37.759 [main] INFO  fichero.Ejercicio4 - pre-rebase.sample
2025-10-08 12:26:37.759 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\.git\hooks\pre-receive.sample
2025-10-08 12:26:37.759 [main] INFO  fichero.Ejercicio4 - pre-receive.sample
2025-10-08 12:26:37.759 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\.git\hooks\prepare-commit-msg.sample
2025-10-08 12:26:37.759 [main] INFO  fichero.Ejercicio4 - prepare-commit-msg.sample
2025-10-08 12:26:37.759 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\.git\hooks\push-to-checkout.sample
2025-10-08 12:26:37.759 [main] INFO  fichero.Ejercicio4 - push-to-checkout.sample
2025-10-08 12:26:37.759 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\.git\hooks\sendemail-validate.sample
2025-10-08 12:26:37.760 [main] INFO  fichero.Ejercicio4 - sendemail-validate.sample
2025-10-08 12:26:37.760 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\.git\hooks\update.sample
2025-10-08 12:26:37.760 [main] INFO  fichero.Ejercicio4 - update.sample
2025-10-08 12:26:37.760 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\.git\info\exclude
2025-10-08 12:26:37.760 [main] INFO  fichero.Ejercicio4 - exclude
2025-10-08 12:26:37.761 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.lock
2025-10-08 12:26:37.761 [main] INFO  fichero.Ejercicio4 - .lock
2025-10-08 12:26:37.761 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.lock_info
2025-10-08 12:26:37.761 [main] INFO  fichero.Ejercicio4 - .lock_info
2025-10-08 12:26:37.761 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.log
2025-10-08 12:26:37.762 [main] INFO  fichero.Ejercicio4 - .log
2025-10-08 12:26:37.762 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.mylyn\repositories.xml.zip
2025-10-08 12:26:37.762 [main] INFO  fichero.Ejercicio4 - repositories.xml.zip
2025-10-08 12:26:37.763 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.buildship.core\gradle\versions.json
2025-10-08 12:26:37.763 [main] INFO  fichero.Ejercicio4 - versions.json
2025-10-08 12:26:37.764 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\10\901ab173ae9e0010183de27014404ec2
2025-10-08 12:26:37.764 [main] INFO  fichero.Ejercicio4 - 901ab173ae9e0010183de27014404ec2
2025-10-08 12:26:37.764 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\15\6004cf53a6a300101e1fa4a96edd07a8
2025-10-08 12:26:37.764 [main] INFO  fichero.Ejercicio4 - 6004cf53a6a300101e1fa4a96edd07a8
2025-10-08 12:26:37.764 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\1a\0082ad20b09e0010183de27014404ec2
2025-10-08 12:26:37.764 [main] INFO  fichero.Ejercicio4 - 0082ad20b09e0010183de27014404ec2
2025-10-08 12:26:37.765 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\1c\a0170f4f30a400101388dd7783786a6a
2025-10-08 12:26:37.765 [main] INFO  fichero.Ejercicio4 - a0170f4f30a400101388dd7783786a6a
2025-10-08 12:26:37.765 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\1e\a0516db45ba3001018d8f22f02702cad
2025-10-08 12:26:37.765 [main] INFO  fichero.Ejercicio4 - a0516db45ba3001018d8f22f02702cad
2025-10-08 12:26:37.765 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\2\307c11afa7a300101e1fa4a96edd07a8
2025-10-08 12:26:37.766 [main] INFO  fichero.Ejercicio4 - 307c11afa7a300101e1fa4a96edd07a8
