2025-11-12 09:14:55.718 [main] INFO  gestiona.GestionaClasificacion - Equipo: RED BULL
2025-11-12 09:14:55.725 [main] INFO  gestiona.GestionaClasificacion - Piloto [identificadorPiloto=11000949, nombre=Max Verstappen, puntos=1, identificadorEquipo=11000159, pais=NL]
2025-11-12 09:14:55.725 [main] INFO  gestiona.GestionaClasificacion - Piloto [identificadorPiloto=11000852, nombre=Sergio Pérez, puntos=1, identificadorEquipo=11000159, pais=MEX]
2025-11-12 09:14:55.725 [main] INFO  gestiona.GestionaClasificacion - Equipo: MCLAREN
2025-11-12 09:14:55.726 [main] INFO  gestiona.GestionaClasificacion - Piloto [identificadorPiloto=11000999, nombre=Lando Norris, puntos=1, identificadorEquipo=11000105, pais=GBR]
2025-11-12 09:14:55.726 [main] INFO  gestiona.GestionaClasificacion - Piloto [identificadorPiloto=11001429, nombre=Oscar Piastri, puntos=1, identificadorEquipo=11000105, pais=AUT]
2025-11-12 09:14:55.726 [main] INFO  gestiona.GestionaClasificacion - Equipo: FERRARI
2025-11-12 09:14:55.726 [main] INFO  gestiona.GestionaClasificacion - Piloto [identificadorPiloto=11000962, nombre=Carlos Sainz, puntos=1, identificadorEquipo=11000045, pais=ESP]
2025-11-12 09:14:55.726 [main] INFO  gestiona.GestionaClasificacion - Piloto [identificadorPiloto=11000995, nombre=Charles Leclerc, puntos=1, identificadorEquipo=11000045, pais=M.]
2025-11-12 09:14:55.726 [main] INFO  gestiona.GestionaClasificacion - Equipo: MERCEDES AMG F1
2025-11-12 09:14:55.726 [main] INFO  gestiona.GestionaClasificacion - Piloto [identificadorPiloto=11001036, nombre=George Russell, puntos=1, identificadorEquipo=11000179, pais=GBR]
2025-11-12 09:14:55.726 [main] INFO  gestiona.GestionaClasificacion - Piloto [identificadorPiloto=11000822, nombre=Lewis Hamilton, puntos=1, identificadorEquipo=11000179, pais=GBR]
2025-11-12 09:14:55.726 [main] INFO  gestiona.GestionaClasificacion - Equipo: ASTON MARTIN
2025-11-12 09:14:55.726 [main] INFO  gestiona.GestionaClasificacion - Piloto [identificadorPiloto=11000008, nombre=Fernando Alonso, puntos=4, identificadorEquipo=11000363, pais=ESP]
2025-11-12 09:14:55.727 [main] INFO  gestiona.GestionaClasificacion - Piloto [identificadorPiloto=11000996, nombre=Lance Stroll, puntos=1, identificadorEquipo=11000363, pais=CAN]
2025-11-12 09:14:55.727 [main] INFO  gestiona.GestionaClasificacion - Equipo: HAAS F1 TEAM
2025-11-12 09:14:55.727 [main] INFO  gestiona.GestionaClasificacion - Piloto [identificadorPiloto=11000879, nombre=Kevin Magnussen, puntos=1, identificadorEquipo=11000198, pais=DIN]
2025-11-12 09:14:55.727 [main] INFO  gestiona.GestionaClasificacion - Piloto [identificadorPiloto=11000836, nombre=Nico Hulkenberg, puntos=1, identificadorEquipo=11000198, pais=ALM]
2025-11-12 09:14:55.727 [main] INFO  gestiona.GestionaClasificacion - Equipo: RB
2025-11-12 09:14:55.727 [main] INFO  gestiona.GestionaClasificacion - Piloto [identificadorPiloto=11001423, nombre=Liam Lawson, puntos=1, identificadorEquipo=11000383, pais=NZ]
2025-11-12 09:14:55.727 [main] INFO  gestiona.GestionaClasificacion - Piloto [identificadorPiloto=11001421, nombre=Yuki Tsunoda, puntos=5, identificadorEquipo=11000383, pais=JAP]
2025-11-12 09:14:55.727 [main] INFO  gestiona.GestionaClasificacion - Equipo: WILLIAMS
2025-11-12 09:14:55.727 [main] INFO  gestiona.GestionaClasificacion - Piloto [identificadorPiloto=11001284, nombre=Alexander Albon, puntos=5, identificadorEquipo=11000150, pais=TH]
2025-11-12 09:14:55.727 [main] INFO  gestiona.GestionaClasificacion - Piloto [identificadorPiloto=11001436, nombre=Franco Colapinto, puntos=1, identificadorEquipo=11000150, pais=ARG]
2025-11-12 09:14:55.727 [main] INFO  gestiona.GestionaClasificacion - Equipo: ALPINE F1 TEAM
2025-11-12 09:14:55.727 [main] INFO  gestiona.GestionaClasificacion - Piloto [identificadorPiloto=11000957, nombre=Esteban Ocon, puntos=1, identificadorEquipo=11000123, pais=FRA]
2025-11-12 09:14:55.728 [main] INFO  gestiona.GestionaClasificacion - Piloto [identificadorPiloto=11000955, nombre=Pierre Gasly, puntos=1, identificadorEquipo=11000123, pais=FRA]
2025-11-12 09:14:55.728 [main] INFO  gestiona.GestionaClasificacion - Equipo: KICK SAUBER
2025-11-12 09:14:55.728 [main] INFO  gestiona.GestionaClasificacion - Piloto [identificadorPiloto=11001371, nombre=Guanyu Zhou, puntos=1, identificadorEquipo=11000384, pais=CHN]
2025-11-12 09:14:55.728 [main] INFO  gestiona.GestionaClasificacion - Piloto [identificadorPiloto=11000857, nombre=Valtteri Bottas, puntos=1, identificadorEquipo=11000384, pais=FIN]
2025-11-12 09:14:55.786 [main] INFO  utils.Formula1XMLNuevo - Archivo XML generado correctamente: equipos_generados.xml
